frame	timestamp	surface	sdk_boundary	sdk_commitment	app_or_later_scope	evidence_note
035	00:16:23.760	build_debug	sdk_build_test	Ensure SDK work is scriptable and traceable.	GitHub page is not SDK runtime.	Issue/task review while RTC persists.
036	00:16:51.867	build_debug	sdk_build_test	Add contract tests for backend/client API failures.	Browser doc UI is out of runtime scope.	Task review and active call.
037	00:17:19.975	build_debug	sdk_build_test	Require regression coverage for active-session state.	Issue tracker is not SDK UI.	GitHub issue list visible.
038	00:17:48.082	build_debug	sdk_build_test	Keep media session alive during testing and debug flows.	Debug pages are not SDK runtime.	GitHub plus active mobile view.
039	00:18:16.190	build_debug	sdk_build_test	Record SDK acceptance items from issue workflow.	GitHub page is out of runtime scope.	Task workflow visible.
040	00:18:44.297	build_debug	sdk_build_test	Use CI scripts for build, package, and verifier output.	GitHub page is not shipped UI.	Issue list and mobile preview.
041	00:19:12.404	build_debug	sdk_build_test	Validate API payloads against backend routes.	Browser/testing UI is out of SDK.	Backend/API review view.
042	00:19:40.512	build_debug	sdk_build_test	Keep SDK docs tied to observed behavior.	Docs page is not runtime UI.	Documentation/testing screen.
043	00:20:08.619	build_debug	sdk_build_test	Make SDK build workflow auditable from scripts.	Docs/admin browser UI is out of SDK.	Planning page visible.
044	00:20:36.727	mobile_identity_profile	app_ui_plus_sdk_data	Sync external users and expose profile fields.	App owns login/profile UI.	Mobile profile/login style screen.
045	00:21:04.834	mobile_identity_profile	app_ui_plus_sdk_data	Expose external user identity, avatar, and room role.	App owns profile sheet.	Member/profile surface.
046	00:21:32.942	mobile_identity_profile	app_ui_plus_sdk_data	Support session restore and identity refresh.	App owns authentication screen.	Mobile identity screen.
047	00:22:01.049	mobile_identity_profile	app_ui_plus_sdk_data	Expose user status and blocked/banned state from API.	App owns visual status sheet.	Profile/status screen.
048	00:22:29.156	mobile_identity_profile	app_ui_plus_sdk_data	Expose room membership and follow/invite data later.	App owns social controls.	Profile/member screen visible.
049	00:22:57.264	mobile_identity_profile	app_ui_plus_sdk_data	Support notifications and foreground state without losing session.	App owns OS notification UX.	Notification/profile state.
050	00:23:25.371	mobile_chat	sdk_events	Expose chat messages, deleted messages, and participant IDs.	App owns chat timeline UI.	Mobile chat timeline visible.
051	00:23:53.479	mobile_chat	sdk_events	Keep chat independent from audio/video media join.	App owns input composer.	Chat continues beside active room.
052	00:24:21.586	mobile_chat	sdk_events	Expose moderation events for chat.	App owns message rendering.	Chat and call state.
053	00:24:49.694	mobile_chat	sdk_events	Support message history and live updates later.	App owns scroll behavior.	Chat surface visible.
054	00:25:17.801	mobile_chat	sdk_events	Expose connection-safe message send failure states later.	App owns retry UI.	Chat and live room state.
055	00:25:45.908	creator_preflight	app_ui_plus_sdk_data	Expose create room and preflight data before media join.	App owns setup wizard.	Creator setup/login flow.
056	00:26:14.016	creator_preflight	app_ui_plus_sdk_data	Support room type, privacy, and media mode selection.	App owns setup list UI.	Creator/live setup list.
057	00:26:42.123	creator_preflight	app_ui_plus_sdk_data	Expose media permission/preflight errors.	App owns permission prompt UI.	Dark prejoin/live setup state.
058	00:27:10.231	creator_preflight	app_ui_plus_sdk_data	Create or join room only after preflight passes.	App owns setup CTA.	Creator setup continues.
059	00:27:38.338	long_running_session	sdk_core	Keep active media session alive through overlays.	App owns overlay content.	Stable RTC session.
060	00:28:06.446	long_running_session	sdk_core	Track active session, foreground state, and leave cleanup.	App owns full-screen layout.	Long-running room state.
061	00:28:34.553	long_running_session	sdk_core	Emit connection health and reconnect state.	App owns health banner.	Stable multi-tile call.
062	00:29:02.660	long_running_session	sdk_core	End usage session reliably on leave.	App owns final confirmation.	Long-running room continues.
063	00:29:30.768	app_visual_asset	app_ui	No SDK runtime requirement except room metadata can reference images.	App owns artwork/assets.	Visual asset/page shown.
064	00:29:58.875	rich_live_controls	sdk_events	Expose participant state, controls, and diagnostics to app.	App owns rich live room UI.	Dark live room with controls.
065	00:30:26.983	rich_live_controls	sdk_events	Expose local user, remote users, and room controls.	App owns control bar.	Live stage and controls.
066	00:30:55.090	rich_live_controls	sdk_events	Support token expiry and reconnect events.	App owns status copy.	Live room profile/controls.
067	00:31:23.198	rich_live_controls	sdk_events	Expose member/profile selection events.	App owns profile panel.	Live room with profile panel.
068	00:31:51.305	rich_live_controls	sdk_events	Expose room controls as data, not fixed UI.	App owns controls panel.	Control panel visible.
069	00:32:19.412	rich_live_controls	sdk_events	Support moderation state changes during active media.	App owns modal/panel UI.	Live controls continue.
070	00:32:47.520	rich_live_controls	sdk_events	Expose current participant and connection diagnostics.	App owns detail panel.	Participant/profile panel visible.
071	00:33:15.627	build_debug	sdk_build_test	Keep docs and debug views as test evidence.	Browser/admin UI not SDK runtime.	Debug screen and active room.
072	00:33:43.735	build_debug	sdk_build_test	Use this segment for acceptance and regression notes.	Docs/browser UI is out of SDK.	Debug workflow visible.
073	00:34:11.842	integration_docs	sdk_build_test	Document API contracts and SDK packaging.	Docs page is not SDK runtime.	Integration doc page.
074	00:34:39.950	integration_docs	sdk_build_test	Lock terminology for platform, company, and room admins.	Documentation UI is not SDK runtime.	Docs/admin review visible.
075	00:35:08.057	integration_docs	sdk_build_test	Track build workflow and test script requirements.	Docs browser UI is out of SDK.	Documentation planning.
076	00:35:36.164	integration_docs	sdk_build_test	Use scripts to verify artifacts and frame coverage.	Docs page is not SDK runtime.	Workflow/doc view.
077	00:36:04.272	integration_docs	sdk_build_test	Maintain SDK build and QA checklist.	Docs page is not runtime UI.	Docs with mobile preview.
078	00:36:32.379	integration_docs	sdk_build_test	Keep SDK scope separate from web/admin features.	Web docs UI out of Android SDK.	Docs/admin state.
079	00:37:00.487	integration_docs	sdk_build_test	Use CI-friendly scripts for extraction, audit, and build.	Docs page is not SDK runtime.	Planning doc visible.
080	00:37:28.594	build_debug	sdk_build_test	Use repository workflow as QA evidence only.	GitHub/browser UI out of SDK.	Issue list and active room.
081	00:37:56.701	long_running_session	sdk_core	Keep media session active across long idle windows.	App owns idle visual state.	Stable live room.
082	00:38:24.809	long_running_session	sdk_core	Expose local/remote participant state for long calls.	App owns visual tile layout.	Long-running room with overlays.
083	00:38:52.916	long_running_session	sdk_core	Support reconnect and heartbeat handling.	App owns status display.	Stable connected room.
084	00:39:21.024	long_running_session	sdk_core	Keep usage session active until explicit leave/end.	App owns stage layout.	Long-running room continues.
085	00:39:49.131	long_running_session	sdk_core	Protect against duplicate start/end session calls.	App owns visible controls.	Long-running call state.
086	00:40:17.239	long_running_session	sdk_core	Renew token before expiry and report failures.	App owns warning banner.	Extended call.
087	00:40:45.346	long_running_session	sdk_core	Emit connection state changes for diagnostics.	App owns diagnostic panel.	Extended session with notes.
088	00:41:13.453	long_running_session	sdk_core	Keep participant membership correct over time.	App owns member display.	Long-running room.
089	00:41:41.561	long_running_session	sdk_core	Support background/foreground safe cleanup.	App owns OS lifecycle UI.	Long-running call.
090	00:42:09.668	long_running_session	sdk_core	Track active session state and leave readiness.	App owns final-screen layout.	Stable room near end.
091	00:42:37.776	long_running_session	sdk_core	Continue media and session health tracking.	App owns visual state.	Late-session room state.
092	00:43:05.883	long_running_session	sdk_core	Ensure no stale participant remains after disconnect.	App owns participant UI.	Late-session active room.
093	00:43:33.991	long_running_session	sdk_core	Handle network loss and token expiry without orphaning usage.	App owns error UI.	Late-session room.
094	00:44:02.098	long_running_session	sdk_core	Keep final leave/session end path idempotent.	App owns leave confirmation.	Late-session room state.
095	00:44:30.205	long_running_session	sdk_core	End usage session and preserve usage logs.	App owns post-call screen.	Late-session call.
096	00:44:58.313	long_running_session	sdk_core	Record duration and billable minutes on session end.	App owns summary UI.	Final extended call period.
097	00:45:26.420	long_running_session	sdk_core	Protect against duplicate end calls during teardown.	App owns finish UX.	Final RTC state.
098	00:45:54.528	long_running_session	sdk_core	Release Agora engine safely after leave.	App owns closing visual state.	Near-final active room.
099	00:46:22.635	long_running_session	sdk_core	Surface teardown errors to app.	App owns error display.	Final active state.
100	00:46:50.743	long_running_session	sdk_core	Clean up active session, media engine, and local state.	App owns final toast/notification.	End of reference sequence.
